,CenterLatitude,CenterLongitude
1063,54.40765,10.20075
1064,55.50335,7.82425
1065,57.68685,11.87025
1066,57.68645,11.86675
1067,57.68595,11.86675
1068,54.40935,10.20075
1069,54.54125,11.26125
1070,54.54535,11.29275
1071,56.02845,12.66125
1072,56.03405,12.67175
1073,56.03415,12.66825
1074,56.03425,12.66475
1075,57.60405,11.79325
1076,55.34385,13.13725
1077,54.54505,11.29275
1078,55.34365,13.13375
1079,55.34335,13.13375
1080,56.02755,12.66125
1081,56.03275,12.61925
1082,56.02405,12.66475
1083,56.03435,12.66125
1084,56.03445,12.66125
1085,56.03455,12.65775
1086,56.03465,12.65775
1087,56.03475,12.65425
1088,56.03485,12.65425
1089,56.03475,12.65075
1090,56.03475,12.64725
1091,56.03465,12.64375
1092,56.03455,12.64375
1093,56.03445,12.64025
1094,56.03435,12.64025
1095,56.03425,12.63675
1096,54.38775,10.20075
1097,54.38825,10.20075
1098,56.03415,12.63675
1099,56.03405,12.63325
1100,56.03395,12.63325
1101,56.03395,12.62975
1102,56.03385,12.62975
1103,56.03365,12.62625
1104,54.39315,10.20075
1105,56.03355,12.62625
1106,56.03335,12.62625
1107,56.03315,12.62275
1108,56.03305,12.62275
1109,56.03285,12.62275
1110,56.03275,12.62275
1111,55.61825,12.99025
1112,55.61875,12.99025
1113,54.40085,10.20075
1114,54.53305,11.29975
1115,54.53315,11.29625
1116,57.71085,11.69875
1117,57.71115,11.69875
1118,57.71145,11.69525
1119,57.71175,11.69525
1120,57.71205,11.69525
1121,57.71245,11.69525
1122,57.71265,11.69525
1123,57.71285,11.69175
1124,57.71305,11.69175
1125,57.71315,11.69175
1126,54.56655,11.55525
1127,54.54345,11.25075
1128,54.56665,11.55875
1129,54.48135,10.30225
1130,54.48195,10.30575
1131,54.48305,10.30575
1132,54.48425,10.30925
1133,54.48475,10.30925
1134,54.48535,10.30925
1135,54.48655,10.31275
1136,54.48765,10.31275
1137,54.48885,10.31625
1138,54.49055,10.31625
1139,54.49165,10.31975
1140,54.49235,10.31975
1141,54.49285,10.31975
1142,54.49395,10.32325
